Moive_ID,Name,Genre,Showing,Year,IMDB,Description,Time
0,Onward,Animation. Adventure. Comedy,1,2020,7.5,Two elven brothers embark on a quest to bring their father back for one day.,1h 42min
1,Trolls World Tour,Animation. Adventure. Comedy,1,2020,6.1,"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.",1h 30min
2,The Gentlemen,Action. Comedy. Crime,0,2019,8,,
3,Once Upon a Time... in Hollywood,Comedy. Drama,0,2019,7.7,,
4,Contagion,Action. Drama. Thriller,0,2011,6.7,,
5,Bad Boys For Life,Action. Comedy. Crime,1,2020,6.8,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,2h 4min
6,Knives Out,Comedy. Crime. Drama,0,2019,8,,
7,1917,Drama. War,0,2019,8.3,,
8,Gretel & Hansel,Fantasy. Horror. Thriller,0,2020,5.3,,
9,Coffee & Kareem,Action. Comedy,0,2020,5.1,,
10,The Invisible Man,Horror. Mystery. Sci-Fi,1,2020,7.2,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",2h 4min
11,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,Action. Adventure. Crime,1,2020,6.2,"After splitting with the Joker, Harley Quinn joins superheroes Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.",1h 49min
12,Underwater,Action. Drama. Horror,0,2020,5.9,,
13,Angel Has Fallen,Action. Thriller,0,2019,6.4,,
14,The Hunt,Action. Horror. Thriller,1,2020,6.4,"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.",1h 30min
15,Star Wars: Episode IX - The Rise of Skywalker,Action. Adventure. Fantasy,0,2019,6.7,,
16,Bloodshot,Action. Drama. Sci-Fi,1,2020,5.7,"Ray Garrison, a slain soldier, is re-animated with superpowers.",1h 49min
17,Little Women,Drama. Romance,0,2019,7.9,,
18,Jumanji: The Next Level,Action. Adventure. Comedy,0,2019,6.7,,
19,Dolittle,Adventure. Comedy. Family,1,2020,5.6,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,1h 41min
20,Avengers: Endgame,Action. Adventure. Drama,0,2019,8.4,,
21,Joker,Crime. Drama. Thriller,0,2019,8.5,,
22,Uncut Gems,Crime. Drama. Thriller,0,2019,7.5,,
23,Midsommar,Drama. Horror. Mystery,0,2019,7.1,,
24,Jojo Rabbit,Comedy. Drama. War,0,2019,7.9,,
25,The Turning,Drama. Horror. Mystery,0,2020,3.7,,
26,Ford v Ferrari,Action. Biography. Drama,0,2019,8.1,,
27,Like a Boss,Comedy,0,2020,4.3,,
28,Spenser Confidential,Action. Comedy. Crime,0,2020,6.2,,
